Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster 
Vladimir Krutov,8014,61,11,23,34,0.557377049,0,0,0,0,0,0,0,1
Frank Spring,10847,61,14,20,34,0.557377049,0,0,0,0,0,0,1,1
Jeff Larmer,9054,158,37,51,88,0.556962025,0,1,0,0,0,0,0,1
Nikita Gusev,2120,97,17,37,54,0.556701031,0,0,0,0,0,0,0,1
Ron Chipperfield,10137,83,22,24,46,0.554216867,0,0,0,0,0,0,0,1
Tom Edur,10173,158,17,70,87,0.550632911,0,1,0,0,0,0,0,1
Tim Tookey,9401,106,22,36,58,0.547169811,0,1,0,0,0,0,0,1
Joel Farabee,812,170,45,48,93,0.547058824,0,1,0,0,0,0,1,1
Alexei Yegorov,5956,11,3,3,6,0.545454545,0,0,0,0,0,0,0,1
Jarkko Varvio,6434,13,3,4,7,0.538461538,0,0,0,0,0,0,0,1
Dave Capuano,7818,104,17,38,55,0.528846154,0,1,0,0,0,0,0,1
Iiro Jarvi,8539,116,18,43,61,0.525862069,0,1,0,0,0,0,0,1
Ron Wilson,10047,177,26,67,93,0.525423729,0,1,0,0,0,0,0,1
Bob Joyce,8333,158,34,49,83,0.525316456,0,1,0,0,0,0,0,1
Brandon Hagel,1326,130,34,34,68,0.523076923,0,1,0,0,0,0,0,1
Jiri Latal,8122,92,12,36,48,0.52173913,0,0,0,0,0,0,0,1
Dan Lambert,7203,29,6,9,15,0.517241379,0,0,0,0,0,0,0,1
